"rules" "support" "confidence" "coverage" "lift" "count"
"735" "{Baju Renang Anak Perempuan,Serum Vitamin} => {Tas Makeup}" 0.00869565217391304 0.5 0.0173913043478261 12.2340425531915 30
"576" "{Kuas Makeup ,Tas Pinggang Wanita} => {Sunblock Cream}" 0.016231884057971 0.788732394366197 0.0205797101449275 11.8826496094471 56
"1079" "{Celana Panjang Format Hitam,Celana Tactical } => {Cream Whitening}" 0.00579710144927536 0.769230769230769 0.00753623188405797 11.7426820966644 20
"580" "{Kuas Makeup ,Tas Travel} => {Sunblock Cream}" 0.0159420289855072 0.753424657534247 0.0211594202898551 11.3507208231142 55
"2100" "{Sepatu Sport merk Y,Tas Sekolah Anak Laki-laki} => {Tas Multifungsi}" 0.0608695652173913 0.909090909090909 0.0669565217391304 11.2012987012987 210
"1083" "{Celana Panjang Format Hitam,Celana Pendek Jeans} => {Cream Whitening}" 0.00434782608695652 0.681818181818182 0.0063768115942029 10.4082864038616 15
"590" "{Kuas Makeup ,Serum Vitamin} => {Sunblock Cream}" 0.0171014492753623 0.686046511627907 0.0249275362318841 10.3356352188484 59
"1076" "{Celana Panjang Format Hitam,Tali Pinggang Anak} => {Cream Whitening}" 0.00492753623188406 0.653846153846154 0.00753623188405797 9.98127978216474 17
"1089" "{Baju Batik Wanita,Celana Panjang Format Hitam} => {Cream Whitening}" 0.0266666666666667 0.652482269503546 0.0408695652173913 9.96045942383732 92
"588" "{Baju Batik Wanita,Kuas Makeup } => {Sunblock Cream}" 0.00666666666666667 0.657142857142857 0.0101449275362319 9.90018714909545 23
"1082" "{Celana Panjang Format Hitam,Hair and Scalp} => {Cream Whitening}" 0.00579710144927536 0.645161290322581 0.00898550724637681 9.84870111333143 20
"2543" "{Atasan Kaos Putih,Gembok Koper} => {Baju Renang Pria Dewasa}" 0.0431884057971014 0.881656804733728 0.0489855072463768 9.71794241639412 149
"585" "{Kuas Makeup ,Tali Pinggang Gesper Pria} => {Sunblock Cream}" 0.00463768115942029 0.64 0.0072463768115942 9.64192139737991 16
"1085" "{Celana Jeans Sobek Wanita,Celana Panjang Format Hitam} => {Cream Whitening}" 0.00666666666666667 0.605263157894737 0.0110144927536232 9.23963670237541 23
"2569" "{Atasan Kaos Putih,Tank Top} => {Baju Renang Pria Dewasa}" 0.0449275362318841 0.833333333333333 0.0539130434782609 9.185303514377 155
"1077" "{Celana Panjang Format Hitam,Shampo Anti Dandruff} => {Cream Whitening}" 0.00347826086956522 0.6 0.00579710144927536 9.15929203539823 12
"1080" "{Celana Panjang Format Hitam,Flat Shoes Ballerina} => {Cream Whitening}" 0.00347826086956522 0.6 0.00579710144927536 9.15929203539823 12
"586" "{Kuas Makeup ,Sepatu Sandal Anak} => {Sunblock Cream}" 0.00550724637681159 0.59375 0.00927536231884058 8.94514192139738 19
"1843" "{Blouse Denim,Sepatu Sandal Anak} => {Sepatu Sekolah Hitam W}" 0.0536231884057971 0.63573883161512 0.0843478260869565 8.91584946777303 185
"2547" "{Gembok Koper,Tank Top} => {Baju Renang Pria Dewasa}" 0.0423188405797101 0.802197802197802 0.0527536231884058 8.84211635010357 146
"2550" "{Gembok Koper,Tas Travel} => {Baju Renang Pria Dewasa}" 0.0411594202898551 0.788888888888889 0.0521739130434783 8.69542066027689 142
"587" "{Cover Koper,Kuas Makeup } => {Sunblock Cream}" 0.00434782608695652 0.576923076923077 0.00753623188405797 8.69163587504199 15
"1087" "{Celana Panjang Format Hitam,Sepatu Sport merk Z} => {Cream Whitening}" 0.00608695652173913 0.567567567567568 0.0107246376811594 8.66419516861995 21
"1416" "{Celana Pendek Casual,Dompet Card Holder} => {Hair Tonic}" 0.04 0.565573770491803 0.0707246376811594 8.6337588858262 138
"2554" "{Gembok Koper,Wedges Hitam} => {Baju Renang Pria Dewasa}" 0.0423188405797101 0.780748663101604 0.0542028985507246 8.60569612683877 146
"59" "{Celana Panjang Format Hitam} => {Cream Whitening}" 0.0269565217391304 0.55688622754491 0.0484057971014493 8.50113931429177 93
"583" "{Dompet Flip Cover,Kuas Makeup } => {Sunblock Cream}" 0.016231884057971 0.554455445544555 0.0292753623188406 8.35314972545289 56
"862" "{Celana Jeans Sobek Wanita,Tas Tangan} => {Baju Kaos Anak - Karakter Kartun}" 0.00666666666666667 1 0.00666666666666667 8.25358851674641 23
"2575" "{Atasan Kaos Putih,Tas Travel} => {Baju Renang Pria Dewasa}" 0.043768115942029 0.747524752475248 0.0585507246376812 8.23949008319362 151
"573" "{Jeans Jumbo,Kuas Makeup } => {Sunblock Cream}" 0.00347826086956522 0.545454545454545 0.0063768115942029 8.21754664549424 12
"578" "{Celana Pendek Casual,Kuas Makeup } => {Sunblock Cream}" 0.00347826086956522 0.545454545454545 0.0063768115942029 8.21754664549424 12
"2705" "{Atasan Kaos Putih,Sepatu Sport merk Y} => {Dompet STNK Gantungan}" 0.0269565217391304 0.808695652173913 0.0333333333333333 8.20588235294118 93
